SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
60,DC3,2025-02-20,1899-12-31 13:39:00,1034,2.01,NA,NA,4.261331662,8.88560081010928e-09,2.171462287,NA,NA,2025-02-20 13:39,2025-02-20,2025-02-20,20-Feb,NA,2,,DC3 2025-02-20
60,DC3,2022-05-23,1899-12-31 12:12:00,391,1.15,NA,5.29,2.438075329,3.36002893302972e-09,0.821123553,NA,NA,2022-05-23 12:12,2022-05-23,2022-05-23,23-May,5.60828125,5.60828125,,DC3 2022-05-23
60,DC3,2022-06-21,1899-12-31 15:01:00,609,3.33,NA,4.99,7.059818127,5.23339544812046e-09,1.278936685,NA,NA,2022-06-21 15:01,2022-06-21,2022-06-21,21-Jun,11.2196875,11.2196875,,DC3 2022-06-21
60,DC3,2021-09-01,1899-12-31 12:23:00,929.8728342,3.16773001,NA,4.76,6.715795118,7.99079188451378e-09,1.952788966,NA,NA,2021-09-01 12:23,2021-09-01,2021-09-01,01-Sep,9.5078125,9.5078125,,DC3 2021-09-01
60,DC3,2021-05-14,1899-12-31 10:55:00,574.9570663,NA,NA,4.97,NA,4.94085007140567e-09,1.207444474,NA,NA,2021-05-14 10:55,2021-05-14,2021-05-14,14-May,7.636947917,7.636947917,,DC3 2021-05-14
60,DC3,2022-05-06,1899-12-31 10:03:00,563,NA,NA,5.28,NA,4.83809792658755e-09,1.182333914,NA,NA,2022-05-06 10:03,2022-05-06,2022-05-06,06-May,NA,2,,DC3 2022-05-06
60,DC3,2020-12-01,1899-12-31 09:31:00,870.2938926,NA,NA,4.89,NA,7.47880475541752e-09,1.8276696,NA,NA,2020-12-01 09:31,2020-12-01,2020-12-01,01-Dec,NA,2,,DC3 2020-12-01
60,DC3,2024-03-13,1899-12-31 12:13:00,2247,0.85,NA,5.82,1.802055678,1.93094245844444e-08,4.718835357,NA,NA,2024-03-13 12:13,2024-03-13,2024-03-13,13-Mar,NA,2,,DC3 2024-03-13
60,DC3,2022-09-01,1899-12-31 12:03:00,854,7.43,NA,5.49,15.75208669,7.33878442150225e-09,1.793451444,NA,NA,2022-09-01 12:03,2022-09-01,2022-09-01,01-Sep,9.5078125,9.5078125,,DC3 2022-09-01
60,DC3,2021-07-19,1899-12-31 11:08:00,916.3375932,4.581042781,NA,4.77,9.71211077,7.87447781467797e-09,1.924364145,NA,NA,2021-07-19 11:08,2021-07-19,2021-07-19,19-Jul,13.2303125,13.2303125,,DC3 2021-07-19
60,DC3,2023-05-03,1899-12-31 14:25:00,510,NA,NA,5,NA,4.38264643438659e-09,1.071030722,NA,NA,2023-05-03 14:25,2023-05-03,2023-05-03,03-May,NA,2,,DC3 2023-05-03
60,DC3,2022-07-20,1899-12-31 11:10:00,606,2.71,NA,5.09,5.745377514,5.20761517497701e-09,1.272636505,NA,NA,2022-07-20 11:10,2022-07-20,2022-07-20,20-Jul,13.0984375,13.0984375,,DC3 2022-07-20
